Client Name,Client Identifier,Scheme Category/Section Name,Scheme Category/Section Name Identifier,Unique Member Reference,Unique ID,Status of Member,Status of Registration,Gender,Short Post Code of Member,Contract Start Date,Contract End Date,Original Date of Joining,Scheme Policy Joining Date,Registration Status,Lapse Date,Count
Client_002 Ltd,CL-002,Family,SC-320,MBR-08366,UID-00008366,Lapsed,Cancelled,F,M7 8JQ,2022-08-29,2023-12-21,2016-09-03,2019-07-23,Cancelled,2023-12-21,1
Client_002 Ltd,CL-002,Individual,SC-660,MBR-08200,UID-00008200,Lapsed,Cancelled,M,M18 1RW,2019-05-28,2023-03-31,2008-09-11,2013-05-19,Cancelled,2023-03-31,1
Client_002 Ltd,CL-002,SME,SC-245,MBR-06474,UID-00006474,Lapsed,Cancelled,F,WC18L 1HB,2022-08-14,2025-10-30,2017-07-26,2018-07-30,Cancelled,2025-10-30,1
Client_003 Ltd,CL-003,Corporate,SC-730,MBR-07979,UID-00007979,Lapsed,Cancelled,F,NW7 2SV,2021-09-23,2025-10-30,2013-03-16,2017-12-21,Cancelled,2025-10-30,1
Client_004 Ltd,CL-004,Corporate,SC-454,MBR-04384,UID-00004384,Lapsed,Cancelled,F,L9 3MW,2023-03-14,2025-10-30,2021-10-18,2022-09-09,Cancelled,2025-10-30,1
Client_005 Ltd,CL-005,Family,SC-588,MBR-04438,UID-00004438,Lapsed,Cancelled,F,EC12 5BA,2020-05-08,2022-08-31,2016-06-23,2020-02-01,Cancelled,2022-08-31,1
Client_005 Ltd,CL-005,Family,SC-730,MBR-00554,UID-00000554,Lapsed,Cancelled,F,M13H 9HU,2015-07-31,2022-10-17,2009-07-06,2010-02-07,Cancelled,2022-10-17,1
Client_006 Ltd,CL-006,Corporate,SC-777,MBR-08151,UID-00008151,Lapsed,Cancelled,F,B20 7ZL,2021-05-12,2023-11-06,2016-09-24,2017-01-24,Cancelled,2023-11-06,1
Client_007 Ltd,CL-007,Corporate,SC-330,MBR-05654,UID-00005654,Lapsed,Cancelled,M,W10 7CC,2015-05-31,2020-12-31,2012-04-18,2013-04-29,Cancelled,2020-12-31,1
Client_007 Ltd,CL-007,Corporate,SC-731,MBR-02410,UID-00002410,Lapsed,Cancelled,M,E11 5FL,2021-12-18,2025-10-30,2017-12-31,2020-05-29,Cancelled,2025-10-30,1
Client_007 Ltd,CL-007,Corporate,SC-747,MBR-09300,UID-00009300,Lapsed,Cancelled,M,BS5X 4KJ,2021-07-09,2025-10-30,2017-01-30,2018-11-20,Cancelled,2025-10-30,1
Client_008 Ltd,CL-008,Family,SC-524,MBR-00779,UID-00000779,Lapsed,Cancelled,F,B19 7XE,2018-01-18,2025-10-23,2008-06-07,2010-05-18,Cancelled,2025-10-23,1
Client_008 Ltd,CL-008,Family,SC-886,MBR-09138,UID-00009138,Lapsed,Cancelled,M,W14 2CP,2021-07-08,2023-07-29,2016-12-25,2017-11-22,Cancelled,2023-07-29,1
Client_008 Ltd,CL-008,Individual,SC-172,MBR-07802,UID-00007802,Lapsed,Cancelled,M,BS20Q 8BK,2016-06-22,2021-05-27,2008-07-26,2010-04-02,Cancelled,2021-05-27,1
Client_008 Ltd,CL-008,Individual,SC-444,MBR-02911,UID-00002911,Lapsed,Cancelled,M,SW18 7UD,2017-05-15,2023-09-17,2016-04-30,2017-01-04,Cancelled,2023-09-17,1
Client_008 Ltd,CL-008,Individual,SC-937,MBR-06188,UID-00006188,Lapsed,Cancelled,M,SW6X 2PK,2024-08-11,2025-10-30,2011-08-13,2016-03-21,Cancelled,2025-10-30,1
Client_008 Ltd,CL-008,SME,SC-982,MBR-08955,UID-00008955,Lapsed,Cancelled,M,E11 8AJ,2022-01-20,2025-10-30,2020-12-29,2022-01-02,Cancelled,2025-10-30,1
Client_009 Ltd,CL-009,Family,SC-953,MBR-05470,UID-00005470,Lapsed,Cancelled,M,SW19 1UN,2024-08-31,2025-10-30,2015-12-16,2020-08-30,Cancelled,2025-10-30,1
Client_010 Ltd,CL-010,Corporate,SC-963,MBR-04690,UID-00004690,Lapsed,Cancelled,F,W6 4IZ,2020-03-03,2024-05-15,2018-10-26,2018-11-24,Cancelled,2024-05-15,1
Client_010 Ltd,CL-010,Individual,SC-797,MBR-02735,UID-00002735,Lapsed,Cancelled,F,L6 4AV,2015-07-19,2023-04-14,2010-04-14,2013-03-11,Cancelled,2023-04-14,1
Client_010 Ltd,CL-010,Individual,SC-918,MBR-01332,UID-00001332,Lapsed,Cancelled,F,W4 2RB,2017-09-20,2019-08-05,2015-06-04,2016-11-02,Cancelled,2019-08-05,1
Client_011 Ltd,CL-011,Corporate,SC-474,MBR-00853,UID-00000853,Lapsed,Cancelled,M,BT8 1GO,2024-04-22,2025-10-30,2013-09-22,2014-04-19,Cancelled,2025-10-30,1
Client_011 Ltd,CL-011,Corporate,SC-496,MBR-07976,UID-00007976,Lapsed,Cancelled,M,G14 6TO,2021-02-23,2025-10-30,2009-03-05,2015-12-21,Cancelled,2025-10-30,1
Client_011 Ltd,CL-011,Corporate,SC-754,MBR-06298,UID-00006298,Lapsed,Cancelled,M,WC8R 1WJ,2018-04-08,2025-10-30,2007-08-25,2015-01-14,Cancelled,2025-10-30,1
Client_011 Ltd,CL-011,Family,SC-555,MBR-05824,UID-00005824,Lapsed,Cancelled,F,SW17L 2WR,2016-03-25,2019-08-10,2005-07-06,2006-07-13,Cancelled,2019-08-10,1
Client_011 Ltd,CL-011,Family,SC-567,MBR-07150,UID-00007150,Lapsed,Cancelled,F,SW4 6XV,2024-11-04,2025-10-30,2011-11-21,2022-10-05,Cancelled,2025-10-30,1
Client_011 Ltd,CL-011,SME,SC-716,MBR-01303,UID-00001303,Lapsed,Cancelled,M,BT6 7BC,2021-12-20,2025-10-30,2015-10-03,2016-06-03,Cancelled,2025-10-30,1
Client_012 Ltd,CL-012,Corporate,SC-223,MBR-02356,UID-00002356,Lapsed,Cancelled,M,WC15B 8TO,2016-04-21,2022-12-22,2012-01-21,2013-12-05,Cancelled,2022-12-22,1
Client_012 Ltd,CL-012,Corporate,SC-249,MBR-03893,UID-00003893,Lapsed,Cancelled,F,G6 7SA,2021-11-07,2025-10-30,2007-06-05,2019-08-30,Cancelled,2025-10-30,1
Client_012 Ltd,CL-012,Individual,SC-429,MBR-01249,UID-00001249,Lapsed,Cancelled,F,M3 8PX,2023-01-19,2024-09-04,2010-05-27,2015-11-30,Cancelled,2024-09-04,1
Client_013 Ltd,CL-013,Corporate,SC-707,MBR-00846,UID-00000846,Lapsed,Cancelled,M,EH7 3BR,2017-02-04,2023-11-19,2009-05-10,2009-11-20,Cancelled,2023-11-19,1
Client_013 Ltd,CL-013,Corporate,SC-954,MBR-08604,UID-00008604,Lapsed,Cancelled,M,BT16 4DG,2020-03-09,2025-10-30,2014-10-03,2015-10-13,Cancelled,2025-10-30,1
Client_013 Ltd,CL-013,SME,SC-993,MBR-02300,UID-00002300,Lapsed,Cancelled,M,M3 7UA,2016-01-06,2020-09-26,2007-08-06,2013-12-22,Cancelled,2020-09-26,1
Client_014 Ltd,CL-014,Corporate,SC-363,MBR-02470,UID-00002470,Lapsed,Cancelled,F,EC4 2GF,2020-04-14,2024-11-09,2018-01-31,2020-01-03,Cancelled,2024-11-09,1
Client_014 Ltd,CL-014,Corporate,SC-371,MBR-09633,UID-00009633,Lapsed,Cancelled,M,WC7N 1OY,2021-05-04,2025-10-30,2011-03-03,2014-02-10,Cancelled,2025-10-30,1
Client_015 Ltd,CL-015,Family,SC-627,MBR-09656,UID-00009656,Lapsed,Cancelled,F,M15 8CR,2022-06-12,2025-10-30,2018-08-29,2019-07-01,Cancelled,2025-10-30,1
Client_015 Ltd,CL-015,Individual,SC-888,MBR-03293,UID-00003293,Lapsed,Cancelled,M,W11G 6ZU,2015-08-23,2023-11-29,2005-04-30,2007-06-18,Cancelled,2023-11-29,1
Client_015 Ltd,CL-015,Individual,SC-914,MBR-00636,UID-00000636,Lapsed,Cancelled,M,NW1 4YY,2019-12-26,2025-10-30,2007-11-01,2016-01-22,Cancelled,2025-10-30,1
Client_016 Ltd,CL-016,Family,SC-915,MBR-06582,UID-00006582,Lapsed,Cancelled,F,M17 9JN,2018-03-27,2019-03-27,2007-09-11,2011-03-30,Cancelled,2019-03-27,1
Client_017 Ltd,CL-017,Corporate,SC-276,MBR-00892,UID-00000892,Lapsed,Cancelled,F,W20 1XZ,2017-11-21,2024-09-08,2012-07-26,2016-07-13,Cancelled,2024-09-08,1
Client_017 Ltd,CL-017,Corporate,SC-601,MBR-09491,UID-00009491,Lapsed,Cancelled,M,WC4 7JC,2023-03-08,2025-10-30,2018-08-08,2022-08-27,Cancelled,2025-10-30,1
Client_017 Ltd,CL-017,Family,SC-128,MBR-08612,UID-00008612,Lapsed,Cancelled,F,CF18 3LR,2024-09-18,2025-10-30,2020-03-02,2023-06-03,Cancelled,2025-10-30,1
Client_017 Ltd,CL-017,Family,SC-761,MBR-03705,UID-00003705,Lapsed,Cancelled,F,G17J 4MJ,2023-07-01,2025-10-30,2019-09-20,2019-12-07,Cancelled,2025-10-30,1
Client_018 Ltd,CL-018,Corporate,SC-152,MBR-01212,UID-00001212,Lapsed,Cancelled,M,NW8X 5SC,2024-01-18,2025-10-30,2021-05-30,2021-07-12,Cancelled,2025-10-30,1
Client_018 Ltd,CL-018,Family,SC-869,MBR-02594,UID-00002594,Lapsed,Cancelled,F,BS1 9ZA,2024-04-28,2025-10-30,2016-09-15,2023-07-11,Cancelled,2025-10-30,1
Client_019 Ltd,CL-019,Individual,SC-229,MBR-05581,UID-00005581,Lapsed,Cancelled,M,SW18 4BC,2019-07-05,2022-07-02,2013-03-06,2013-11-16,Cancelled,2022-07-02,1
Client_020 Ltd,CL-020,Corporate,SC-977,MBR-08720,UID-00008720,Lapsed,Cancelled,M,L17 5WM,2015-01-30,2020-06-10,2002-11-16,2003-08-14,Cancelled,2020-06-10,1
Client_020 Ltd,CL-020,Family,SC-560,MBR-05784,UID-00005784,Lapsed,Cancelled,M,N9 5YH,2024-07-18,2025-10-30,2016-01-07,2017-06-08,Cancelled,2025-10-30,1
Client_021 Ltd,CL-021,Family,SC-460,MBR-09629,UID-00009629,Lapsed,Cancelled,M,BT5V 9CC,2018-06-24,2019-10-27,2009-11-12,2016-11-25,Cancelled,2019-10-27,1
Client_022 Ltd,CL-022,Corporate,SC-221,MBR-06772,UID-00006772,Lapsed,Cancelled,F,EC12 4VX,2019-10-20,2020-10-29,2013-04-14,2016-07-17,Cancelled,2020-10-29,1
Client_022 Ltd,CL-022,Individual,SC-648,MBR-09780,UID-00009780,Lapsed,Cancelled,F,EC15F 5JM,2023-01-03,2024-05-20,2019-06-07,2019-12-29,Cancelled,2024-05-20,1
Client_022 Ltd,CL-022,Individual,SC-946,MBR-08894,UID-00008894,Lapsed,Cancelled,M,CF4 1ID,2018-03-15,2024-03-07,2012-07-27,2013-09-16,Cancelled,2024-03-07,1
Client_023 Ltd,CL-023,Family,SC-188,MBR-01454,UID-00001454,Lapsed,Cancelled,F,EH16 7UZ,2018-01-28,2020-04-01,2005-07-23,2005-11-06,Cancelled,2020-04-01,1
Client_024 Ltd,CL-024,Corporate,SC-597,MBR-05386,UID-00005386,Lapsed,Cancelled,M,N11 4WF,2019-09-23,2025-10-30,2015-09-16,2016-09-19,Cancelled,2025-10-30,1
Client_025 Ltd,CL-025,Corporate,SC-156,MBR-01968,UID-00001968,Lapsed,Cancelled,M,M9J 9JK,2023-07-21,2024-09-07,2020-01-16,2022-07-02,Cancelled,2024-09-07,1
Client_025 Ltd,CL-025,Corporate,SC-834,MBR-08341,UID-00008341,Lapsed,Cancelled,F,CF17B 8QH,2017-12-28,2023-03-04,2015-11-10,2016-12-15,Cancelled,2023-03-04,1
Client_025 Ltd,CL-025,Individual,SC-452,MBR-08350,UID-00008350,Lapsed,Cancelled,F,SE2 1YU,2017-12-27,2025-10-30,2008-02-15,2013-05-12,Cancelled,2025-10-30,1
Client_026 Ltd,CL-026,Corporate,SC-590,MBR-09357,UID-00009357,Lapsed,Cancelled,F,CF15 4WT,2024-10-30,2025-10-30,2023-03-31,2023-10-07,Cancelled,2025-10-30,1
Client_026 Ltd,CL-026,Individual,SC-602,MBR-02324,UID-00002324,Lapsed,Cancelled,M,M9 6NV,2022-09-17,2025-10-30,2012-01-27,2020-09-17,Cancelled,2025-10-30,1
Client_027 Ltd,CL-027,Family,SC-237,MBR-00825,UID-00000825,Lapsed,Cancelled,F,B9 7IO,2021-08-12,2024-05-02,2020-07-09,2020-09-24,Cancelled,2024-05-02,1
Client_029 Ltd,CL-029,Corporate,SC-666,MBR-07923,UID-00007923,Lapsed,Cancelled,M,B14 2IM,2023-02-06,2025-10-30,2014-01-07,2020-01-08,Cancelled,2025-10-30,1
Client_029 Ltd,CL-029,Corporate,SC-770,MBR-05731,UID-00005731,Lapsed,Cancelled,F,N6 4DB,2023-09-10,2025-07-21,2017-10-15,2021-01-04,Cancelled,2025-07-21,1
Client_029 Ltd,CL-029,Corporate,SC-806,MBR-07514,UID-00007514,Lapsed,Cancelled,M,SW16 6TF,2015-03-08,2016-11-30,2007-04-30,2011-12-18,Cancelled,2016-11-30,1
Client_030 Ltd,CL-030,Individual,SC-579,MBR-01189,UID-00001189,Lapsed,Cancelled,M,EH4 8TX,2021-04-04,2025-10-30,2019-12-20,2021-02-27,Cancelled,2025-10-30,1
Client_031 Ltd,CL-031,Family,SC-185,MBR-03203,UID-00003203,Lapsed,Cancelled,M,W17P 8PQ,2015-09-11,2020-04-21,2005-01-01,2012-04-20,Cancelled,2020-04-21,1
Client_031 Ltd,CL-031,Family,SC-279,MBR-01457,UID-00001457,Lapsed,Cancelled,F,G9 3YC,2024-02-04,2025-10-30,2018-01-18,2019-09-17,Cancelled,2025-10-30,1
Client_031 Ltd,CL-031,Individual,SC-536,MBR-02273,UID-00002273,Lapsed,Cancelled,M,BS14 2LL,2019-06-15,2022-04-30,2014-11-10,2019-04-13,Cancelled,2022-04-30,1
Client_032 Ltd,CL-032,Family,SC-635,MBR-03067,UID-00003067,Lapsed,Cancelled,M,B13V 4WL,2016-06-01,2019-06-24,2004-03-09,2014-08-31,Cancelled,2019-06-24,1
Client_033 Ltd,CL-033,Individual,SC-419,MBR-07937,UID-00007937,Lapsed,Cancelled,M,L8P 5CI,2017-12-14,2023-02-22,2008-06-25,2017-11-10,Cancelled,2023-02-22,1
